time,ticker,blockchain_type,min_value,max_value,average_amount,average_fee,average_gas_price,gas_used,difficulty,transaction_amount
1672498800,ETH,ETH,0.0,7864061076.868663,140960018.9881335,0.0002895456496761688,17.833104187465445,15763415.333333334,58750003716598360000000,113
1672495200,ETH,ETH,0.0,130942297326.69635,1423968505.7273555,0.00021866396811412038,16.98124510811163,17981329.666666668,58750003716598360000000,116
1672491600,ETH,ETH,0.0,13049417045.2864,268219904.41926718,0.00026510557559756984,16.435274965907936,17200828.0,58750003716598360000000,110
1672488000,ETH,ETH,0.0,11339744720.83396,277803911.07063955,0.0001599803096370503,17.23739401355895,10753107.166666666,58750003716598360000000,97
1672484400,ETH,ETH,0.0,261682843189.36694,2597406345.5813975,0.00034207576863568446,17.6324274214374,18537192.5,58750003716598360000000,86
1672480800,ETH,ETH,0.0,82626389049.81627,872972491.6828936,0.00023122934908498903,17.333173363607795,14907186.666666666,58750003716598360000000,113
1672477200,ETH,ETH,0.0,41557122000.0,699751481.2971576,0.0002774587672514897,17.339940424922556,14729784.166666666,58750003716598360000000,99
1672473600,ETH,ETH,0.0,8233446047.631579,195298910.6123642,0.0002299173891280958,18.050224933604795,12551301.833333334,58750003716598360000000,106
1672470000,ETH,ETH,0.0,7151798257.525738,148598422.29998174,0.0003013592915260602,20.499733909505725,18369322.5,58750003716598360000000,108
1672466400,ETH,ETH,0.0,27101672988.79747,380634787.2799752,0.0002064645048637626,16.489519235435854,15870325.833333334,58750003716598360000000,125
1672462800,ETH,ETH,0.0,49354864083.333336,508160873.4769779,0.00017212077809966947,18.838498027431857,12444115.0,58750003716598360000000,108
1672459200,ETH,ETH,0.0,49782714829.71235,455030798.71187264,0.00025227900241990304,17.661501786410216,21166788.666666668,58750003716598360000000,162
1672455600,ETH,ETH,0.0,18708794888.61263,257481110.87777662,0.0002600605979056459,17.657199724410685,14988978.333333334,58750003716598360000000,112
1672452000,ETH,ETH,0.0,294795903405.80927,3260526587.3133636,0.00016272204636788492,20.141781363316323,12303756.5,58750003716598360000000,106
1672448400,ETH,ETH,0.0,33141246204.499218,302114396.8037409,0.00019925703794162848,21.6222770080809,17880088.5,58750003716598360000000,175
1672444800,ETH,ETH,0.0,13841056561.089325,325196526.4190667,0.0002459755270024112,41.40707350631125,17729812.5,58750003716598360000000,114
1672441200,ETH,ETH,0.0,32792060874.33611,359345893.95957524,0.000802508057295234,28.295317241402046,13108985.833333334,58750003716598360000000,97
1672437600,ETH,ETH,0.0,48791828688.74624,567229025.6268628,0.0001871503730873199,21.812846958302554,15081994.333333334,58750003716598360000000,137
1672434000,ETH,ETH,0.0,7741113943.939805,209123942.16566133,0.00020712788254096529,27.663488649401277,12094069.0,58750003716598360000000,123
1672430400,ETH,ETH,0.0,14020519118.900887,231323229.8334581,0.00046628546983028355,20.18966818758706,12118966.666666666,58750003716598360000000,115
