close_time,trading_pair,open,close,high,low,volume,trades_amount
1674673200,ETHUSDT,1548.71,1555.54,1556.0,1547.99,13845.632,21491600
1674669600,ETHUSDT,1548.96,1548.7,1553.66,1545.14,11854.373,18357971
1674666000,ETHUSDT,1543.95,1548.97,1552.66,1541.39,20502.396,31737921
1674662400,ETHUSDT,1536.48,1543.95,1546.18,1525.0,35670.273,54843690
1674658800,ETHUSDT,1554.68,1536.48,1555.7,1533.75,40945.574,63275249
1674655200,ETHUSDT,1560.13,1554.68,1566.58,1553.5,25274.982,39454371
1674651600,ETHUSDT,1545.5,1560.14,1562.71,1545.44,27377.04,42577266
1674648000,ETHUSDT,1547.14,1545.49,1549.28,1543.81,10875.484,16820335
1674644400,ETHUSDT,1545.62,1547.13,1547.83,1538.59,16549.322,25551664
1674640800,ETHUSDT,1551.1,1545.63,1552.0,1540.91,18720.256,28971210
1674637200,ETHUSDT,1553.82,1551.1,1556.8,1550.0,10917.658,16951832
1674633600,ETHUSDT,1555.16,1553.81,1558.91,1553.42,12984.076,20204877
1674630000,ETHUSDT,1549.14,1555.16,1557.03,1546.27,16870.049,26174945
1674626400,ETHUSDT,1546.17,1549.14,1551.74,1545.2,10814.547,16738959
1674622800,ETHUSDT,1546.63,1546.17,1549.01,1545.83,9355.408,14475650
1674619200,ETHUSDT,1540.87,1546.63,1546.88,1540.28,12655.785,19541094
1674615600,ETHUSDT,1534.99,1540.87,1543.06,1534.21,13866.251,21346675
1674612000,ETHUSDT,1548.89,1535.0,1550.47,1518.0,67088.11,102800214
1674608400,ETHUSDT,1555.97,1548.88,1557.0,1541.53,42208.85,65416963
1674604800,ETHUSDT,1562.17,1555.97,1565.27,1544.69,46525.457,72311239
1674601200,ETHUSDT,1599.0,1562.16,1601.77,1535.0,77703.64,121857665
1674597600,ETHUSDT,1615.27,1599.01,1621.5,1588.8,31013.994,49725761
1674594000,ETHUSDT,1622.42,1615.26,1624.45,1608.0,13670.267,22082416
1674590400,ETHUSDT,1619.88,1622.41,1624.31,1618.17,7858.8496,12740664
1674586800,ETHUSDT,1616.18,1619.87,1624.3,1613.42,13887.087,22503743
1674583200,ETHUSDT,1614.35,1616.17,1617.6,1606.48,16402.814,26461445
1674579600,ETHUSDT,1620.57,1614.34,1621.87,1612.0,16965.35,27440315
1674576000,ETHUSDT,1613.4,1620.58,1621.6,1606.88,17561.457,28381672
1674572400,ETHUSDT,1617.14,1613.4,1622.48,1604.0,41583.723,67136958
1674568800,ETHUSDT,1627.34,1617.14,1630.76,1612.83,18600.238,30172638
1674565200,ETHUSDT,1625.59,1627.34,1632.12,1622.22,9920.665,16144718
1674561600,ETHUSDT,1623.01,1625.6,1626.58,1622.02,7891.9614,12816028
1674558000,ETHUSDT,1617.93,1623.0,1626.17,1617.14,12039.989,19528886
1674554400,ETHUSDT,1634.81,1617.94,1635.28,1614.39,38521.336,62534522
1674550800,ETHUSDT,1635.77,1634.81,1637.28,1634.47,7071.865,11567781
1674547200,ETHUSDT,1636.47,1635.77,1636.96,1633.25,9369.305,15322446
1674543600,ETHUSDT,1638.0,1636.47,1638.54,1635.15,7300.1797,11949394
1674540000,ETHUSDT,1636.46,1637.99,1639.28,1634.38,11143.083,18240794
